@relation mxmh_survey_results1-weka.filters.unsupervised.attribute.NumericCleaner-min50.0-min-default50.0-max220.0-max-default220.0-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals-1-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute Age numeric
@attribute 'Primary streaming service' {Spotify,Pandora,'YouTube Music','I do not use a streaming service.','Apple Music','Other streaming service'}
@attribute 'Hours per day' numeric
@attribute 'While working' {Yes,No}
@attribute Instrumentalist {Yes,No}
@attribute Composer {Yes,No}
@attribute 'Fav genre' {Latin,Rock,'Video game music',Jazz,R&B,'K pop',Country,EDM,'Hip hop',Pop,Rap,Classical,Metal,Folk,Lofi,Gospel}
@attribute Exploratory {Yes,No}
@attribute 'Foreign languages' {Yes,No}
@attribute BPM numeric
@attribute Anxiety numeric
@attribute Depression numeric
@attribute Insomnia numeric
@attribute OCD numeric
@attribute 'Music effects' {'No effect',Improve,Worsen}

@data
17,Spotify,2,No,No,No,Pop,Yes,Yes,123.376789,7,5,4,1,Worsen
16,Spotify,8,Yes,No,No,'Hip hop',Yes,Yes,103,8,8,4,3,Improve
16,Spotify,12,Yes,No,Yes,'Hip hop',Yes,Yes,120,5,7,10,0,Improve
17,Spotify,24,Yes,No,No,Rap,Yes,No,99,7,5,0,3,Improve
15,Spotify,3,No,No,No,'Hip hop',No,No,120,7,3,0,2,Improve
15,'Apple Music',8,Yes,No,No,'Hip hop',Yes,Yes,120,6,9,3,0,Improve
17,Spotify,4,Yes,No,No,Rap,Yes,No,125,10,10,2,4,Improve
19,'I do not use a streaming service.',5,Yes,No,No,R&B,Yes,Yes,118,6,7,5,4,Improve
18,Spotify,2,Yes,No,No,Pop,No,Yes,79,3,3,8,6,'No effect'
16,'Other streaming service',3,Yes,Yes,Yes,Rock,Yes,Yes,84,10,6,8,10,Improve
18,Spotify,2,No,No,No,Pop,Yes,Yes,169,7,4,2,5,Improve
14,Spotify,12,Yes,Yes,Yes,Rock,Yes,Yes,136,8,6,10,5,Improve
18,'YouTube Music',6,Yes,Yes,Yes,Pop,No,Yes,101,3,2,1,2,Improve
17,Spotify,2,Yes,Yes,No,Pop,Yes,Yes,126,6,6,4,5,Improve
17,'Apple Music',1,Yes,No,No,Pop,Yes,No,183,8,2,1,5,Improve
20,'Apple Music',5,Yes,Yes,No,Rock,Yes,Yes,123.376789,7,7,2,0,Improve
19,Spotify,2,Yes,No,No,Classical,No,No,120,4,4,4,3,'No effect'
19,Spotify,6,Yes,Yes,No,Metal,Yes,Yes,123.376789,9,8,2,3,Improve
17,Spotify,4,No,No,No,Rock,Yes,Yes,142,5,6,6,1,Improve
16,Spotify,1,Yes,No,No,Classical,No,No,75,0,0,0,0,'No effect'
18,Spotify,5,Yes,Yes,No,Pop,Yes,No,120,3,2,1,1,Improve
21,Spotify,4,Yes,No,No,Pop,No,Yes,89,6,8,0,2,Improve
17,'Other streaming service',3,Yes,No,No,Pop,Yes,No,123.376789,2,0,4,0,'No effect'
26,'Other streaming service',0.5,No,No,No,Rock,No,Yes,140,9,8,1,0,'No effect'
20,Spotify,4,Yes,No,No,EDM,Yes,No,161,7,2,8,6,Improve
23,'YouTube Music',2,Yes,Yes,Yes,'Video game music',Yes,No,80,4,2,3,4,Improve
18,Spotify,5,Yes,Yes,No,Rock,Yes,No,130,7,6,5,0,Improve
37,'YouTube Music',0.25,No,No,No,'Video game music',Yes,No,147,3,2,10,0,'No effect'
17,Spotify,3,Yes,No,No,Classical,Yes,Yes,120,6,6,8,2,Improve
18,Spotify,4,Yes,No,No,Metal,Yes,Yes,77,1,0,8,2,'No effect'
17,'I do not use a streaming service.',1,Yes,Yes,Yes,Folk,No,No,118,7,3,1,5,Improve
36,Spotify,1,No,Yes,Yes,Classical,No,No,132,8,9,3,0,'No effect'
24,Spotify,3,Yes,No,No,Rock,Yes,Yes,115,9,6,4,3,Improve
18,Spotify,5,Yes,No,Yes,Metal,Yes,Yes,157,7,9,5,0,Improve
19,Spotify,3,Yes,No,No,Pop,No,Yes,90,7,4,2,4,'No effect'
17,'Apple Music',2,Yes,Yes,No,EDM,Yes,No,128,0,0,0,0,Improve
16,Spotify,6,Yes,No,No,'K pop',Yes,Yes,169,7,8,7,5,Improve
23,'Apple Music',1,No,No,No,Rap,No,Yes,140,10,6,3,10,'No effect'
23,Spotify,12,Yes,No,No,Pop,Yes,Yes,96,3,7,5,5,'No effect'
22,Spotify,4,Yes,No,Yes,Rock,Yes,Yes,126,8,7,4,3,Improve
16,'Apple Music',2,Yes,Yes,No,Classical,Yes,No,123.376789,0,0,1,3,Improve
18,Spotify,6,Yes,No,No,Rock,Yes,No,91,8,6,2,10,'No effect'
42,'I do not use a streaming service.',0,Yes,No,No,Rock,No,Yes,123.376789,9,0,10,0,'No effect'
23,Spotify,7,Yes,No,No,Folk,Yes,Yes,55,6,4,2,3,Improve
23,'I do not use a streaming service.',1,Yes,Yes,No,'Video game music',No,No,85,7,0,0,2,Improve
19,'YouTube Music',1,No,Yes,No,'K pop',Yes,Yes,160,10,1,0,0,Improve
22,Pandora,1,No,Yes,No,Rock,Yes,No,108,8,7,0,5,Improve
15,'Other streaming service',2,Yes,Yes,No,Rock,No,No,156,3,2,6,7,Improve
25,Spotify,2,No,No,No,Metal,No,Yes,170,5,5,3,1,'No effect'
32,Spotify,5,Yes,No,No,Rock,No,Yes,91,10,10,3,1,Worsen
36,Spotify,6,Yes,No,No,Metal,Yes,Yes,174,5,4,10,2,Improve
24,Spotify,3,No,No,No,Rock,Yes,Yes,130,0,0,8,0,'No effect'
29,Spotify,4,No,No,No,'Hip hop',Yes,No,140,8,8,5,10,Improve
41,'Apple Music',3,Yes,Yes,Yes,Metal,Yes,Yes,130,10,7,8,0,Improve
36,'I do not use a streaming service.',2,Yes,Yes,Yes,Rock,Yes,No,127,7,3,1,1,Improve
19,'YouTube Music',3,Yes,No,No,Rock,Yes,No,160,8,7,4,0,Improve
31,Spotify,2,Yes,No,No,Rock,Yes,Yes,123.376789,10,2,0,5,'No effect'
16,Spotify,4,Yes,No,No,Rock,No,Yes,123.376789,9,8,1,2,Improve
26,Spotify,2,Yes,Yes,Yes,'Hip hop',Yes,Yes,165,6,3,1,1,Improve
22,'Apple Music',0.5,No,No,No,'Hip hop',No,No,113,7,7,0,1,'No effect'
16,Spotify,5,Yes,Yes,Yes,Jazz,Yes,Yes,167,7,7,8,4,Improve
17,Spotify,5,Yes,No,No,Metal,Yes,Yes,95,4,1,0,0,Improve
19,Spotify,10,Yes,No,No,R&B,Yes,Yes,110,7,2,1,5,Improve
18,'YouTube Music',2,No,No,No,EDM,No,Yes,150,9,0,5,10,Improve
18,'YouTube Music',4,Yes,No,No,'Hip hop',Yes,Yes,93,2,7,1,1,Improve
19,Spotify,5,No,Yes,Yes,Rock,Yes,Yes,90,10,8,7,0,Improve
19,Spotify,3,Yes,No,No,Jazz,Yes,No,118,3,0,0,0,Improve
22,Spotify,2,Yes,No,No,'K pop',Yes,Yes,126,7,8,5,1,'No effect'
16,Spotify,2.5,Yes,Yes,Yes,Rock,Yes,Yes,103,2,1,0,0,Improve
19,Spotify,3,Yes,No,No,R&B,Yes,Yes,77,5,4,0,1,Improve
37,Spotify,1,Yes,No,No,Rock,No,No,115,9,10,6,10,'No effect'
14,Spotify,7,Yes,Yes,No,Jazz,No,No,110,2,0,0,0,Improve
33,'I do not use a streaming service.',1,No,No,No,Metal,No,Yes,123.376789,5,2,5,1,Improve
26,Spotify,1,No,No,No,R&B,No,No,113,3,2,0,0,'No effect'
32,Spotify,3,Yes,No,No,'Hip hop',No,No,157,2,0,7,0,'No effect'
30,Spotify,5,Yes,Yes,No,Metal,Yes,No,160,7,6,6,2,'No effect'
43,'I do not use a streaming service.',6,Yes,Yes,Yes,'Video game music',Yes,Yes,109,5,4,8,3,'No effect'
24,Spotify,4,Yes,No,No,Classical,Yes,Yes,175,4,6,5,3,Improve
36,'YouTube Music',1,Yes,No,No,Rock,Yes,No,110,6,2,3,1,Improve
19,'YouTube Music',4,Yes,No,No,'Video game music',Yes,No,162,8,2,1,6,Improve
22,Spotify,10,Yes,No,No,Metal,Yes,Yes,189,9,6,0,6,Improve
20,Spotify,3,No,No,Yes,EDM,Yes,Yes,121,0,3,7,0,Improve
31,Spotify,2,No,No,No,Rock,Yes,No,200,8,9,6,2,Improve
19,Spotify,4,Yes,No,No,Metal,Yes,Yes,105,4,1,1,1,Improve
15,Spotify,8,Yes,No,No,Rock,No,No,193,8,7,5,0,Improve
18,Spotify,2,No,Yes,Yes,Metal,Yes,Yes,149,3,4,6,1,Improve
25,'I do not use a streaming service.',0.5,No,Yes,No,Classical,No,No,140,1,1,3,1,Improve
17,'Apple Music',5,Yes,No,No,Metal,Yes,No,134,10,8,6,7,'No effect'
28,'YouTube Music',1,No,No,No,Rock,Yes,No,120,6,6,2,0,'No effect'
20,Spotify,3,Yes,No,No,Rock,Yes,Yes,170,6,7,0,0,Improve
21,'YouTube Music',2,Yes,Yes,No,Metal,Yes,Yes,107,8,4,10,0,'No effect'
41,Spotify,3,Yes,No,No,Pop,No,Yes,113,9,7,6,2,'No effect'
20,Spotify,2,Yes,Yes,No,Pop,Yes,No,126,7,4,6,5,Improve
34,'Other streaming service',4,Yes,No,No,Metal,Yes,Yes,161,6,7,0,0,'No effect'
21,'YouTube Music',3,Yes,No,Yes,Metal,Yes,No,123.376789,10,0,10,10,Improve
23,Spotify,2,Yes,No,No,Metal,Yes,Yes,100,6,3,0,1,Improve
16,Spotify,3,No,No,No,Pop,No,No,140,7,5,5,3,Improve
19,'YouTube Music',4,Yes,No,No,Pop,Yes,No,156,7,10,5,0,Improve
22,Spotify,2,Yes,Yes,No,Rock,Yes,Yes,98,8,6,0,0,Improve
19,Spotify,8,Yes,No,No,'K pop',Yes,Yes,100,4,3,0,0,Improve
23,Spotify,4,Yes,No,No,'Hip hop',Yes,Yes,78,7,6,7,5,Improve
23,Spotify,2,No,Yes,No,Metal,No,Yes,117,7,3,2,3,Improve
22,Spotify,1,No,No,Yes,EDM,Yes,No,128,2,7,5,0,Improve
17,Spotify,3,Yes,No,No,Rock,Yes,No,130,7,8,6,5,Improve
28,Spotify,0.5,No,No,No,Folk,Yes,No,130,4,7,1,0,Improve
23,Spotify,2,No,No,No,Rock,Yes,Yes,123.376789,7,8,5,1,'No effect'
19,'Apple Music',3,Yes,No,No,Rock,Yes,Yes,126,5,2,8,6,Improve
17,Spotify,2,Yes,Yes,Yes,'Hip hop',Yes,Yes,122,10,7,4,2,Improve
21,'YouTube Music',1,No,No,No,Rock,Yes,No,179,6,5,0,0,'No effect'
29,'Other streaming service',5,Yes,No,No,Jazz,Yes,Yes,200,7,2,3,1,Improve
22,Spotify,10,No,Yes,Yes,EDM,No,Yes,128,4,7,7,3,Improve
18,Spotify,4,Yes,Yes,Yes,Pop,Yes,Yes,130,4,5,6,5,Improve
13,Spotify,2,Yes,Yes,Yes,Rock,Yes,No,120,7,10,5,6,Worsen
24,Spotify,1,No,No,No,Metal,Yes,No,86,6,4,5,0,Improve
35,Spotify,6,Yes,No,No,Rock,Yes,Yes,166,4,1,3,1,'No effect'
29,'YouTube Music',1,Yes,Yes,No,'Video game music',Yes,No,110,6,6,1,2,Improve
28,Spotify,6,Yes,No,No,Rock,No,No,144,10,8,7,1,Improve
32,Spotify,7,Yes,No,No,Pop,Yes,Yes,120,10,8,2,8,Improve
32,'Other streaming service',1,No,No,No,EDM,Yes,No,120,3,6,2,0,'No effect'
21,Spotify,3,Yes,Yes,No,Rock,Yes,No,160,8,9,2,0,Improve
18,Spotify,2,Yes,Yes,No,'Video game music',No,Yes,101,8,3,8,7,Improve
19,Spotify,3,Yes,Yes,No,Classical,Yes,No,122,3,3,1,2,Improve
18,'Apple Music',2,Yes,Yes,No,Pop,Yes,Yes,123.376789,6,5,2,0,Improve
16,'YouTube Music',3,Yes,No,Yes,Pop,No,No,123.376789,0,0,4,0,'No effect'
25,Spotify,1.5,Yes,No,No,Pop,No,No,61,6,5,0,2,Improve
17,Spotify,4,Yes,No,No,Lofi,Yes,Yes,79,3,8,0,0,Improve
16,Spotify,2,Yes,No,No,Rap,Yes,Yes,126,1,8,0,0,'No effect'
27,Spotify,10,Yes,No,No,Metal,Yes,Yes,185,5,6,6,3,Improve
53,Spotify,7,Yes,No,No,Pop,Yes,Yes,92,0,0,0,0,Improve
25,Spotify,1,Yes,No,No,EDM,No,No,107,0,8,0,0,Improve
34,Spotify,2,No,No,No,Metal,No,No,120,3,7,0,0,Improve
22,'Other streaming service',6,Yes,Yes,Yes,Jazz,Yes,Yes,140,8,8,8,5,Improve
17,Spotify,2,Yes,Yes,Yes,Jazz,Yes,No,94,5,2,3,4,Improve
26,Spotify,3,Yes,Yes,No,Folk,Yes,No,160,8,8,3,0,Improve
19,Spotify,8,Yes,No,No,EDM,Yes,No,174,6,8,8,0,Improve
21,Spotify,3,Yes,No,No,Pop,Yes,Yes,136,6,8,6,0,Worsen
32,Spotify,3,Yes,Yes,Yes,Rock,Yes,Yes,144,6,6,7,5,Improve
21,'I do not use a streaming service.',3,Yes,No,No,Rock,No,No,77,9,10,3,0,'No effect'
25,Spotify,2,No,Yes,No,Pop,No,No,120,7,7,5,0,Improve
26,Spotify,1,No,No,No,Rock,No,No,123.376789,10,7,2,8,'No effect'
21,Spotify,2,Yes,Yes,No,Metal,Yes,Yes,123.376789,1,3,0,6,'No effect'
17,Spotify,2,Yes,Yes,No,Pop,No,Yes,123.376789,5,3,2,1,Improve
28,'I do not use a streaming service.',4,Yes,No,No,Rock,Yes,Yes,194,6,8,1,6,Improve
41,'YouTube Music',4,Yes,No,No,Pop,Yes,No,60,7,2,0,7,Improve
18,Spotify,1,Yes,Yes,No,Metal,Yes,Yes,190,6,9,9,0,Improve
22,Spotify,2,No,No,No,R&B,No,Yes,87,1,1,4,1,'No effect'
18,'Other streaming service',2,Yes,No,No,'K pop',No,Yes,122,0,2,0,0,?
49,'Other streaming service',1,Yes,No,No,EDM,Yes,No,156,8,8,2,0,Improve
21,Spotify,3,Yes,Yes,Yes,Metal,Yes,No,150,3,3,7,0,'No effect'
27,Spotify,10,Yes,No,No,Metal,Yes,Yes,194,8,8,3,0,Improve
19,Spotify,1,No,No,Yes,Metal,Yes,Yes,160,6,4,0,3,'No effect'
27,Spotify,3,Yes,No,No,Metal,Yes,Yes,171,1,0,0,0,Improve
27,Spotify,1.5,Yes,No,No,Rock,No,No,95,5,5,4,4,Improve
19,Spotify,3,Yes,Yes,No,'K pop',Yes,Yes,114,8,9,6,0,?
42,'YouTube Music',2.5,Yes,Yes,No,Rock,No,Yes,148,8,8,7,6,Improve
60,Pandora,2,Yes,No,No,Gospel,No,No,119,3,0,2,0,Improve
19,'YouTube Music',5,Yes,No,No,Metal,No,Yes,136,0,5,1,0,'No effect'
20,'Apple Music',2,Yes,No,No,Pop,Yes,No,141,6,3,0,0,Improve
28,Spotify,2,No,No,Yes,Metal,No,No,146,1,7,5,1,Improve
16,'I do not use a streaming service.',2,No,Yes,Yes,'Video game music',Yes,No,123.376789,4,2,1,1,'No effect'
18,Spotify,2,Yes,No,No,R&B,No,Yes,164,5,6,0,1,'No effect'
34,Spotify,1,Yes,No,No,Rock,Yes,Yes,123.376789,1,0,0,0,'No effect'
18,'YouTube Music',1.5,Yes,No,No,Pop,Yes,No,123.376789,8,6,5,2,Improve
21,Spotify,5,Yes,Yes,Yes,Folk,Yes,Yes,128,9,4,0,3,Improve
38,Spotify,0.5,No,No,No,Rock,Yes,Yes,123.376789,4,6,6,4,Improve
17,Spotify,2,Yes,No,No,Rock,No,Yes,123.376789,7,3,1,5,Improve
35,'Other streaming service',0.5,No,No,No,Pop,No,No,123.376789,10,3,1,0,'No effect'
21,'I do not use a streaming service.',2,Yes,No,No,Rock,No,Yes,101,8,8,3,0,Improve
25,'Apple Music',2.5,Yes,No,No,R&B,No,No,123.376789,7,6,5,4,Improve
18,Spotify,2,Yes,Yes,No,'K pop',Yes,Yes,98,7,2,3,5,Improve
16,'Apple Music',2,No,No,No,Pop,Yes,No,145,10,3.5,5,10,Improve
19,Spotify,1,Yes,No,No,Pop,Yes,Yes,94,7,5,1,2,Improve
31,Spotify,4,Yes,Yes,No,Classical,No,Yes,103,6,8,9,5,Improve
26,Spotify,5,Yes,No,No,Rock,No,No,123.376789,2,9,2,1,'No effect'
16,Spotify,2,Yes,Yes,Yes,Rock,No,No,112,7,4,10,2,Improve
26,Spotify,2,Yes,Yes,No,Rock,Yes,Yes,123.376789,7,5,6,0,Improve
17,Spotify,2,Yes,No,No,R&B,Yes,Yes,118,6,1,0,0,Improve
22,Spotify,1,Yes,Yes,No,'Video game music',Yes,Yes,123.376789,3,6,1,1,Improve
20,'Apple Music',4,Yes,No,No,R&B,Yes,Yes,113,9,10,3,0,Improve
30,Spotify,1,No,Yes,No,Rock,Yes,No,162,8,5,8,9,Improve
26,'Other streaming service',4,Yes,No,No,Pop,No,No,123.376789,8,7,7,3,Improve
19,Spotify,5,Yes,No,No,Rock,Yes,Yes,111,9,9,9,3,'No effect'
21,Spotify,5,Yes,No,No,Country,Yes,No,85,9,8,9,7,Improve
33,Spotify,7,Yes,No,No,Rock,Yes,Yes,134,9,3,7,8,Improve
28,'YouTube Music',2,Yes,No,No,Rock,Yes,No,172,10,8,6,2,Improve
25,Spotify,3,Yes,No,No,Rock,Yes,Yes,180,9,6,3,0,Improve
22,'YouTube Music',2,Yes,No,No,Pop,No,No,120,7,7,8,3,Improve
19,Spotify,3,Yes,No,Yes,Rock,Yes,Yes,76,9,10,4,0,Improve
44,'Other streaming service',3,Yes,No,No,Folk,Yes,Yes,130,9,9,8,2,Improve
22,Spotify,3,Yes,No,No,Rock,No,No,123.376789,9,10,3,9,Improve
26,Spotify,5,Yes,Yes,Yes,Metal,Yes,Yes,109,10,9,8,8,Improve
23,'I do not use a streaming service.',6,Yes,No,Yes,Classical,No,Yes,96,6,5,6,8,Improve
17,Spotify,2,No,No,No,R&B,No,Yes,148,8,6,10,3,Improve
42,'YouTube Music',2,No,No,No,Metal,Yes,No,123.376789,8,3,6,4,Improve
30,Spotify,1,No,Yes,No,Rock,Yes,No,129,4,2,1,3,Improve
35,Spotify,1,Yes,No,No,Pop,Yes,Yes,81,2,1,1,1,'No effect'
20,Spotify,3,No,No,No,Rock,Yes,No,136,10,10,7,3,Improve
18,Spotify,3,Yes,No,No,Rap,Yes,Yes,155,8,9,0,0,Improve
21,Spotify,1,No,No,No,Pop,No,Yes,123.376789,4,9,6,2,'No effect'
19,Spotify,6,Yes,No,No,Rock,Yes,Yes,52,4,2,0,0,Improve
37,Spotify,4,Yes,No,No,Rock,Yes,No,97,9,2,7,7,Improve
31,Spotify,2,Yes,No,No,Metal,Yes,Yes,92,8,6,7,5,Improve
29,Spotify,2,Yes,Yes,No,Folk,Yes,Yes,100,6,5,4,2,Improve
20,Spotify,3,Yes,No,No,Rock,Yes,Yes,120,8,5,2,3,Improve
36,'I do not use a streaming service.',8,Yes,Yes,Yes,'Video game music',No,Yes,143,7,6,6,1,'No effect'
18,Spotify,3,Yes,Yes,No,Rock,Yes,No,118,10,2,0,0,Improve
18,Spotify,2,Yes,No,No,'K pop',Yes,Yes,130,6,0,0,0,Improve
25,Spotify,7,Yes,No,No,Pop,No,Yes,120,2,0,1,0,Improve
18,'YouTube Music',12,Yes,No,No,'K pop',Yes,Yes,126,3,7,5,2,Improve
31,'YouTube Music',9,Yes,No,No,Pop,Yes,Yes,158,9,0,2,0,Improve
17,Spotify,2,Yes,No,No,Pop,Yes,Yes,160,5,4,1,1,Improve
21,Spotify,1,Yes,No,No,Folk,No,Yes,123.376789,8,4,0,1,Improve
30,'Other streaming service',1,No,No,No,Country,No,No,119,8,10,2,0,Improve
40,'Apple Music',2,Yes,No,No,Metal,Yes,Yes,120,3,6,2,1,'No effect'
64,'I do not use a streaming service.',4,Yes,No,No,Rock,No,No,200,4,4,2,1,Improve
14,Spotify,2,Yes,Yes,No,Rock,Yes,Yes,136,7,5,2,6,Improve
26,'YouTube Music',6,Yes,No,No,Rock,Yes,No,104,3,2,0,0,'No effect'
35,Spotify,4,Yes,Yes,Yes,Country,Yes,Yes,90,9,9,5,1,Improve
33,'Other streaming service',1,No,No,No,Rock,No,No,120,3,10,4,1,'No effect'
30,Spotify,6,Yes,No,No,Folk,Yes,Yes,89,9,0,5,0,'No effect'
31,Spotify,2,No,Yes,No,Metal,Yes,Yes,95,7,6,6,5,Improve
27,Spotify,5,Yes,No,Yes,Folk,Yes,Yes,140,0,9,4,0,Improve
53,'I do not use a streaming service.',1.5,No,No,No,Pop,Yes,Yes,92,2,2,2,1,'No effect'
23,Spotify,5,Yes,Yes,Yes,Metal,Yes,Yes,120,6,9,2,1,Improve
25,Spotify,2,Yes,No,Yes,EDM,Yes,No,128,6,4,1,0,Improve
16,'Apple Music',4,Yes,Yes,No,'K pop',Yes,Yes,140,8,9,4,0,Improve
18,Spotify,2,Yes,Yes,Yes,Rock,Yes,No,123.376789,6,7,4,3,Improve
29,Spotify,5,Yes,Yes,Yes,Classical,Yes,Yes,123.376789,7,2,2,0,Improve
31,'YouTube Music',6,Yes,No,No,EDM,Yes,Yes,136,8,6,5,6,'No effect'
31,Spotify,1,No,No,No,Rock,No,Yes,132,3,10,0,0,Worsen
38,Spotify,6,Yes,Yes,No,Pop,Yes,Yes,107,9,4,9,7,Improve
17,Spotify,4,No,Yes,No,Classical,Yes,Yes,135,7,9,2,8,Worsen
25,'Apple Music',2,No,No,No,EDM,No,Yes,171,10,3,1,4,Improve
20,Spotify,2,No,Yes,Yes,Metal,No,Yes,220,0,0,0,1,'No effect'
15,Spotify,2,Yes,No,No,EDM,No,No,171,9,6,1,7,'No effect'
16,Spotify,4,Yes,No,Yes,Lofi,Yes,No,85,7,1,3,5,Improve
20,Spotify,2,Yes,Yes,No,EDM,No,Yes,174,9,7,5,7,Improve
23,'Other streaming service',6,Yes,No,No,Rap,Yes,Yes,87,3,1,2,7,Improve
22,Spotify,3,Yes,No,No,'Hip hop',Yes,Yes,77,6,6,8,0,Improve
15,'I do not use a streaming service.',5,Yes,No,No,Rock,Yes,Yes,126,10,6,0,4,Improve
17,'I do not use a streaming service.',0.5,Yes,Yes,No,'Video game music',No,Yes,136,6,3,1,1,Improve
22,'YouTube Music',1,Yes,No,No,'Video game music',Yes,Yes,80,3,3,0,7,'No effect'
21,Spotify,10,Yes,No,No,Metal,Yes,Yes,92,9,10,2,2,'No effect'
19,Spotify,2,Yes,No,No,Pop,No,Yes,120,7,5,0,2,'No effect'
32,'Apple Music',0.5,No,No,No,Classical,Yes,No,123.376789,3,0,4,4,'No effect'
34,'YouTube Music',1,No,No,No,Rock,No,Yes,138,9,9,6,4,Improve
18,'I do not use a streaming service.',2,Yes,Yes,No,Metal,Yes,Yes,150,5,7,7,2,Improve
21,Spotify,3,Yes,No,No,Country,Yes,No,108,0,8,0,5,Improve
20,Spotify,3,No,No,No,Country,Yes,Yes,119,8,4,3,4,Improve
19,Spotify,2,Yes,No,No,Country,Yes,No,125,7,2,0,7,'No effect'
25,'I do not use a streaming service.',1,No,No,No,Pop,No,Yes,123.376789,9,9,6,9,'No effect'
31,Spotify,8,Yes,Yes,No,Classical,Yes,Yes,123.376789,5,7,5,4,Improve
21,Spotify,1,Yes,Yes,No,Pop,Yes,Yes,85,5,1,0,0,Improve
31,'YouTube Music',1,No,No,Yes,Folk,Yes,Yes,113,4,1,3,0,Improve
20,'YouTube Music',1,No,No,No,Pop,Yes,No,86,3,5,3,0,Improve
19,Spotify,5,Yes,Yes,No,Rock,Yes,No,141,2,2,0,6,Improve
19,'Other streaming service',5,Yes,No,No,EDM,Yes,Yes,97,0,1,3,5,Improve
23,Spotify,4,Yes,No,No,Metal,Yes,Yes,123.376789,7,8,6,2,Improve
24,'I do not use a streaming service.',8,Yes,No,Yes,'Video game music',Yes,No,120,6,4,8,8,Improve
20,'Other streaming service',0.7,No,No,No,Rock,No,No,144,5,6,8,2,Improve
15,Spotify,3,No,No,No,'Video game music',No,No,84,6,6,2,6,'No effect'
17,Spotify,7,Yes,No,No,'Hip hop',No,Yes,84,8,9,3,4,Improve
20,'I do not use a streaming service.',1.5,No,Yes,Yes,'Video game music',No,Yes,60,8,4,3,3,Worsen
14,Spotify,4,Yes,Yes,Yes,'Video game music',Yes,Yes,81,8,6,5,7,Improve
24,Spotify,4,Yes,No,No,Metal,Yes,Yes,150,8,8,7,7,Improve
14,'Other streaming service',10,Yes,No,Yes,'Video game music',No,No,95,5,2,5,0,Improve
23,Spotify,2,Yes,Yes,Yes,Rock,Yes,No,138,6,8,4,2,'No effect'
28,'Apple Music',2,Yes,No,No,Rock,No,No,123.376789,7,5,2,1,'No effect'
22,Spotify,6,Yes,No,No,Jazz,Yes,Yes,140,8,8,7,1,Improve
25,Spotify,0.5,Yes,Yes,No,Rock,Yes,Yes,139,10,2,0,0,Improve
27,Spotify,2,Yes,Yes,Yes,Pop,Yes,Yes,100,8,7,7,5,Improve
18,Spotify,5,Yes,No,No,Rock,Yes,Yes,123.376789,8,8,8,6,Improve
17,'Apple Music',3,Yes,Yes,Yes,Pop,Yes,No,120,8,10,9,2,Improve
23,'Other streaming service',4.5,Yes,No,No,Rock,No,Yes,123.376789,6,1,8,4,'No effect'
40,'Other streaming service',3,Yes,No,No,Rock,Yes,Yes,178,0,4,4,0,Improve
